Question_Code,Short_description,Answer_code,Answer_meaning
CASEID,Case identification number,,
STATE,State abbreviations,AK,Alaska
STATE,State abbreviations,AL,Alabama
STATE,State abbreviations,AR,Arkansas
STATE,State abbreviations,AZ,Arizona
STATE,State abbreviations,CA,California
STATE,State abbreviations,CO,Colorado
STATE,State abbreviations,CT,Connecticut
STATE,State abbreviations,DC,District of Columbia
STATE,State abbreviations,DE,Delaware
STATE,State abbreviations,FL,Florida
STATE,State abbreviations,GA,Georgia
STATE,State abbreviations,HI,Hawaii
STATE,State abbreviations,IA,Iowa
STATE,State abbreviations,ID,Idaho
STATE,State abbreviations,IL,Illinois
STATE,State abbreviations,IN,Indiana
STATE,State abbreviations,KS,Kansas
STATE,State abbreviations,KY,Kentucky
STATE,State abbreviations,LA,Louisiana
STATE,State abbreviations,MA,Massachusetts
STATE,State abbreviations,MD,Maryland
STATE,State abbreviations,ME,Maine
STATE,State abbreviations,MI,Michigan
STATE,State abbreviations,MN,Minnesota
STATE,State abbreviations,MO,Missouri
STATE,State abbreviations,MS,Mississippi
STATE,State abbreviations,MT,Montana
STATE,State abbreviations,NC,North Carolina
STATE,State abbreviations,ND,North Dakota
STATE,State abbreviations,NE,Nebraska
STATE,State abbreviations,NH,New Hampshire
STATE,State abbreviations,NJ,New Jersey
STATE,State abbreviations,NM,New Mexico
STATE,State abbreviations,NV,Nevada
STATE,State abbreviations,NY,New York
STATE,State abbreviations,OH,Ohio
STATE,State abbreviations,OK,Oklahoma
STATE,State abbreviations,OR,Oregon
STATE,State abbreviations,PA,Pennsylvania
STATE,State abbreviations,PR,Puerto Rico
STATE,State abbreviations,RI,Rhode Island
STATE,State abbreviations,SC,South Carolina
STATE,State abbreviations,SD,South Dakota
STATE,State abbreviations,TN,Tennessee
STATE,State abbreviations,TX,Texas
STATE,State abbreviations,UT,Utah
STATE,State abbreviations,VA,Virginia
STATE,State abbreviations,VT,Vermont
STATE,State abbreviations,WA,Washington
STATE,State abbreviations,WI,Wisconsin
STATE,State abbreviations,WV,West Virginia
STATE,State abbreviations,WY,Wyoming
STATE,State abbreviations,ZZ,Other jurisdictions
STFIPS,Census state FIPS code,1,Alabama
STFIPS,Census state FIPS code,2,Alaska
STFIPS,Census state FIPS code,4,Arizona
STFIPS,Census state FIPS code,5,Arkansas
STFIPS,Census state FIPS code,6,California
STFIPS,Census state FIPS code,8,Colorado
STFIPS,Census state FIPS code,9,Connecticut
STFIPS,Census state FIPS code,10,Delaware
STFIPS,Census state FIPS code,11,District of Columbia
STFIPS,Census state FIPS code,12,Florida
STFIPS,Census state FIPS code,13,Georgia
STFIPS,Census state FIPS code,15,Hawaii
STFIPS,Census state FIPS code,16,Idaho
STFIPS,Census state FIPS code,17,Illinois
STFIPS,Census state FIPS code,18,Indiana
STFIPS,Census state FIPS code,19,Iowa
STFIPS,Census state FIPS code,20,Kansas
STFIPS,Census state FIPS code,21,Kentucky
STFIPS,Census state FIPS code,22,Louisiana
STFIPS,Census state FIPS code,23,Maine
STFIPS,Census state FIPS code,24,Maryland
STFIPS,Census state FIPS code,25,Massachusetts
STFIPS,Census state FIPS code,26,Michigan
STFIPS,Census state FIPS code,27,Minnesota
STFIPS,Census state FIPS code,28,Mississippi
STFIPS,Census state FIPS code,29,Missouri
STFIPS,Census state FIPS code,30,Montana
STFIPS,Census state FIPS code,31,Nebraska
STFIPS,Census state FIPS code,32,Nevada
STFIPS,Census state FIPS code,33,New Hampshire
STFIPS,Census state FIPS code,34,New Jersey
STFIPS,Census state FIPS code,35,New Mexico
STFIPS,Census state FIPS code,36,New York
STFIPS,Census state FIPS code,37,North Carolina
STFIPS,Census state FIPS code,38,North Dakota
STFIPS,Census state FIPS code,39,Ohio
STFIPS,Census state FIPS code,40,Oklahoma
STFIPS,Census state FIPS code,41,Oregon
STFIPS,Census state FIPS code,42,Pennsylvania
STFIPS,Census state FIPS code,44,Rhode Island
STFIPS,Census state FIPS code,45,South Carolina
STFIPS,Census state FIPS code,46,South Dakota
STFIPS,Census state FIPS code,47,Tennessee
STFIPS,Census state FIPS code,48,Texas
STFIPS,Census state FIPS code,49,Utah
STFIPS,Census state FIPS code,50,Vermont
STFIPS,Census state FIPS code,51,Virginia
STFIPS,Census state FIPS code,53,Washington
STFIPS,Census state FIPS code,54,West Virginia
STFIPS,Census state FIPS code,55,Wisconsin
STFIPS,Census state FIPS code,56,Wyoming
STFIPS,Census state FIPS code,72,Puerto Rico
STFIPS,Census state FIPS code,99,Other jurisdictions
DETOX,Facility offers detoxification (Q.1),0,No
DETOX,Facility offers detoxification (Q.1),1,Yes
TREATMT,Facility offers substance use treatment (Q.1),0,No
TREATMT,Facility offers substance use treatment (Q.1),1,Yes
SMISEDSUD,Facility offers treatment for co-occurring serious mental illness (SMI)/serious emotional disturbance (SED) and substance use disorders (Q.1),0,No
SMISEDSUD,Facility offers treatment for co-occurring serious mental illness (SMI)/serious emotional disturbance (SED) and substance use disorders (Q.1),1,Yes
OWNERSHP,Organization that operates the facility (Q.8),1,Private-for-profit organization
OWNERSHP,Organization that operates the facility (Q.8),2,Private non-profit organization
OWNERSHP,Organization that operates the facility (Q.8),3,State government
OWNERSHP,Organization that operates the facility (Q.8),4,"Local, county, or community government"
OWNERSHP,Organization that operates the facility (Q.8),5,Tribal government
OWNERSHP,Organization that operates the facility (Q.8),6,Federal government
FEDOWN,Federal government agency that operates the facility (Q.8a),.,Logical skip
FEDOWN,Federal government agency that operates the facility (Q.8a),1,Dept of Veterans Affairs
FEDOWN,Federal government agency that operates the facility (Q.8a),2,Dept of Defense
FEDOWN,Federal government agency that operates the facility (Q.8a),3,Indian Health Service
FEDOWN,Federal government agency that operates the facility (Q.8a),4,Other
HOSPITAL,Facility is a hospital or located in or operated by a hospital (Q.24),M,Missing
HOSPITAL,Facility is a hospital or located in or operated by a hospital (Q.24),0,No
HOSPITAL,Facility is a hospital or located in or operated by a hospital (Q.24),1,Yes
LOCS,Type of hospital (Q.24a),.,Logical skip
LOCS,Type of hospital (Q.24a),M,Missing
LOCS,Type of hospital (Q.24a),1,General hospital (including VA hospitals)
LOCS,Type of hospital (Q.24a),2,Psychiatric hospital
LOCS,Type of hospital (Q.24a),3,Other specialty hospital
LOC5,Facility operates transitional housing or a halfway house for substance use clients (Q.25),0,No
LOC5,Facility operates transitional housing or a halfway house for substance use clients (Q.25),1,Yes
OTP,Facility operates an opioid treatment program (Q.13),0,No
OTP,Facility operates an opioid treatment program (Q.13),1,Yes
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),0,0 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),1,1 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),2,2 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),3,3 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),4,4 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),5,5 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),6,6 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),7,7 assessment services offered
ASSESSMENT,Number of assessment and pre-treatment services offered by this facility (Q.12),8,8 assessment services offered
TESTING,Number of testing services offered by this facility (Q.12),0,0 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),1,1 testing service offered
TESTING,Number of testing services offered by this facility (Q.12),2,2 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),3,3 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),4,4 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),5,5 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),6,6 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),7,7 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),8,8 testing services offered
TESTING,Number of testing services offered by this facility (Q.12),9,9 testing services offered
MEDICAL,Number of medical services offered by this facility (Q.12),0,0 medical services offered
MEDICAL,Number of medical services offered by this facility (Q.12),1,1 medical service offered
MEDICAL,Number of medical services offered by this facility (Q.12),2,2 medical services offered
TRANSITION,Number of transitional services offered by this facility (Q.12),0,0 transitional services offered
TRANSITION,Number of transitional services offered by this facility (Q.12),1,1 transitional service offered
TRANSITION,Number of transitional services offered by this facility (Q.12),2,2 transitional services offered
TRANSITION,Number of transitional services offered by this facility (Q.12),3,3 transitional services offered
TRANSITION,Number of transitional services offered by this facility (Q.12),4,4 transitional services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),0,0 recovery support services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),1,1 recovery support service offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),2,2 recovery support services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),3,3 recovery support services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),4,4 recovery support services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),5,5 recovery support services offered
RECOVERY,Number of recovery support services offered by this facility (Q.12),6,6 recovery support services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),0,0 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),1,1 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),2,2 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),3,3 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),4,4 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),5,5 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),6,6 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),7,7 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),8,8 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),9,9 education and counseling services offered
EDUCATION,Number of education and counseling services offered by this facility (Q.12),10,10 education and counseling services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),0,0 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),1,1 ancillary service offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),2,2 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),3,3 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),4,4 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),5,5 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),6,6 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),7,7 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),8,8 ancillary services offered
ANCILLARY,Number of ancillary services offered by this facility (Q.12),9,9 ancillary services offered
OTHER_SRVC,Number of other services offered by this facility (Q.12),0,0 other services offered
OTHER_SRVC,Number of other services offered by this facility (Q.12),1,1 other service offered
OTHER_SRVC,Number of other services offered by this facility (Q.12),2,2 other services offered
OTHER_SRVC,Number of other services offered by this facility (Q.12),3,3 other services offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),0,0 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),1,1 pharmacotherapy offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),2,2 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),3,3 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),4,4 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),5,5 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),6,6 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),7,7 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),8,8 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),9,9 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),10,10 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),11,11 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),12,12 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),13,13 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),14,14 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),15,15 pharmacotherapies offered
PHARMACOTHERAPIES,Number of pharmacotherapies offered by this facility (Q.12),16,16 pharmacotherapies offered
SRVC89,Facility offers screening for substance abuse (Q.12),0,No
SRVC89,Facility offers screening for substance abuse (Q.12),1,Yes
SRVC90,Facility offers screening for mental health disorders (Q.12),0,No
SRVC90,Facility offers screening for mental health disorders (Q.12),1,Yes
SRVC1,Facility offers comprehensive substance abuse assessment or diagnosis (Q.12),0,No
SRVC1,Facility offers comprehensive substance abuse assessment or diagnosis (Q.12),1,Yes
SRVC2,Facility offers comprehensive mental health assessment or diagnosis (Q.12),0,No
SRVC2,Facility offers comprehensive mental health assessment or diagnosis (Q.12),1,Yes
SRVC107,Facility offers screening for tobacco use (Q.12),0,No
SRVC107,Facility offers screening for tobacco use (Q.12),1,Yes
SRVC91,Facility offers outreach to persons in the community who may need treatment (Q.12),0,No
SRVC91,Facility offers outreach to persons in the community who may need treatment (Q.12),1,Yes
SRVC93,Facility offers interim services for clients when immediate admission is not possible (Q.12),0,No
SRVC93,Facility offers interim services for clients when immediate admission is not possible (Q.12),1,Yes
SRVCEDCON,Facility offers professional interventionist/educational consultant (Q.12),0,No
SRVCEDCON,Facility offers professional interventionist/educational consultant (Q.12),1,Yes
SRVCORAL,Facility offers drug and alcohol oral fluid testing (Q.12),0,No
SRVCORAL,Facility offers drug and alcohol oral fluid testing (Q.12),1,Yes
SRVC10,Facility offers breathalyzer or other blood alcohol testing (Q.12),0,No
SRVC10,Facility offers breathalyzer or other blood alcohol testing (Q.12),1,Yes
SRVC11,Facility offers drug or alcohol urine screening (Q.12),0,No
SRVC11,Facility offers drug or alcohol urine screening (Q.12),1,Yes
SRVC73,Facility offers screening for hepatitis B (Q.12),0,No
SRVC73,Facility offers screening for hepatitis B (Q.12),1,Yes
SRVC74,Facility offers screening for hepatitis C (Q.12),0,No
SRVC74,Facility offers screening for hepatitis C (Q.12),1,Yes
SRVC14,Facility offers HIV testing (Q.12),0,No
SRVC14,Facility offers HIV testing (Q.12),1,Yes
SRVC15,Facility offers STD testing (Q.12),0,No
SRVC15,Facility offers STD testing (Q.12),1,Yes
SRVC16,Facility offers TB screening (Q.12),0,No
SRVC16,Facility offers TB screening (Q.12),1,Yes
SRVCMETA,Facility offers testing for metabolic syndrome (Q.12),0,No
SRVCMETA,Facility offers testing for metabolic syndrome (Q.12),1,Yes
SRVCHAV,Facility offers hepatitis A (HAV) vaccination (Q.12),0,No
SRVCHAV,Facility offers hepatitis A (HAV) vaccination (Q.12),1,Yes
SRVCHBV,Facility offers hepatitis B (HBV) vaccination (Q.12),0,No
SRVCHBV,Facility offers hepatitis B (HBV) vaccination (Q.12),1,Yes
SRVC37,Facility offers discharge planning (Q.12),0,No
SRVC37,Facility offers discharge planning (Q.12),1,Yes
SRVC27,Facility offers aftercare/continuing care (Q.12),0,No
SRVC27,Facility offers aftercare/continuing care (Q.12),1,Yes
SRVCODED,Facility offers naloxone and overdose education (Q.12),0,No
SRVCODED,Facility offers naloxone and overdose education (Q.12),1,Yes
SRVCOUTCM,Facility offers outcome follow-up after discharge (Q.12),0,No
SRVCOUTCM,Facility offers outcome follow-up after discharge (Q.12),1,Yes
SRVC97,Facility offers mentoring/peer support (Q.12),0,No
SRVC97,Facility offers mentoring/peer support (Q.12),1,Yes
SRVC102,Facility offers self-help groups (Q.12),0,No
SRVC102,Facility offers self-help groups (Q.12),1,Yes
SRVC39,Facility offers assistance in locating housing for clients (Q.12),0,No
SRVC39,Facility offers assistance in locating housing for clients (Q.12),1,Yes
SRVC38,Facility offers employment counseling or training for clients (Q.12),0,No
SRVC38,Facility offers employment counseling or training for clients (Q.12),1,Yes
SRVC36,"Facility offers assistance with obtaining social services (for example, Medicaid, WIC, SSI, SSDI) (Q.12)",0,No
SRVC36,"Facility offers assistance with obtaining social services (for example, Medicaid, WIC, SSI, SSDI) (Q.12)",1,Yes
SRVCCOACH,Facility offers recovery coach (Q.12),0,No
SRVCCOACH,Facility offers recovery coach (Q.12),1,Yes
SRVC24,"Facility offers HIV or AIDS education, counseling, or support (Q.12)",0,No
SRVC24,"Facility offers HIV or AIDS education, counseling, or support (Q.12)",1,Yes
SRVC104,"Facility offers hepatitis education, counseling, or support (Q.12)",0,No
SRVC104,"Facility offers hepatitis education, counseling, or support (Q.12)",1,Yes
SRVC99,Facility offers health education other than HIV/AIDS or hepatitis (Q.12),0,No
SRVC99,Facility offers health education other than HIV/AIDS or hepatitis (Q.12),1,Yes
SRVC100,Facility offers substance abuse education (Q.12),0,No
SRVC100,Facility offers substance abuse education (Q.12),1,Yes
SRVC105,Facility offers smoking/tobacco cessation counseling (Q.12),0,No
SRVC105,Facility offers smoking/tobacco cessation counseling (Q.12),1,Yes
SRVC6,Facility offers individual counseling (Q.12),0,No
SRVC6,Facility offers individual counseling (Q.12),1,Yes
SRVC5,Facility offers group counseling (Q.12),0,No
SRVC5,Facility offers group counseling (Q.12),1,Yes
SRVC4,Facility offers family counseling (Q.12),0,No
SRVC4,Facility offers family counseling (Q.12),1,Yes
SRVC103,Facility offers marital/couples counseling (Q.12),0,No
SRVC103,Facility offers marital/couples counseling (Q.12),1,Yes
SRVCVOCED,Facility offers vocational training or educational support (Q.12),0,No
SRVCVOCED,Facility offers vocational training or educational support (Q.12),1,Yes
SRVC49,Facility offers case management services (Q.12),0,No
SRVC49,Facility offers case management services (Q.12),1,Yes
SRVC96,Facility offers social skills development (Q.12),0,No
SRVC96,Facility offers social skills development (Q.12),1,Yes
SRVC50,Facility offers child care for clients' children (Q.12),0,No
SRVC50,Facility offers child care for clients' children (Q.12),1,Yes
SRVC52,Facility offers domestic (family or partner) violence services (Q.12),0,No
SRVC52,Facility offers domestic (family or partner) violence services (Q.12),1,Yes
SRVC98,Facility offers early intervention for HIV (Q.12),0,No
SRVC98,Facility offers early intervention for HIV (Q.12),1,Yes
SRVC59,Facility offers transportation assistance to treatment (Q.12),0,No
SRVC59,Facility offers transportation assistance to treatment (Q.12),1,Yes
SRVC101,Facility offers mental health services (Q.12),0,No
SRVC101,Facility offers mental health services (Q.12),1,Yes
SRVC48,Facility offers acupuncture (Q.12),0,No
SRVC48,Facility offers acupuncture (Q.12),1,Yes
SRVC75,Facility offers residential beds for clients' children (Q.12),0,No
SRVC75,Facility offers residential beds for clients' children (Q.12),1,Yes
SRVC117,Facility offers treatment services for gambling disorder (Q.12),0,No
SRVC117,Facility offers treatment services for gambling disorder (Q.12),1,Yes
SRVC118,Facility offers treatment services for Internet use disorder (Q.12),0,No
SRVC118,Facility offers treatment services for Internet use disorder (Q.12),1,Yes
SRVC119,Facility offers treatment services for other addiction disorder (non-substance abuse) (Q.12),0,No
SRVC119,Facility offers treatment services for other addiction disorder (non-substance abuse) (Q.12),1,Yes
SRVC70,Facility offers disulfram (Antabuse®) pharmacotherapy services (Q.12),0,No
SRVC70,Facility offers disulfram (Antabuse®) pharmacotherapy services (Q.12),1,Yes
SRVC71,Facility offers naltrexone (oral) pharmacotherapy services (Q.12),0,No
SRVC71,Facility offers naltrexone (oral) pharmacotherapy services (Q.12),1,Yes
SRVC108,"Facility offers naltrexone (extended-release, injectable, for example, Vivitrol®) pharmacotherapy services (Q.12)",0,No
SRVC108,"Facility offers naltrexone (extended-release, injectable, for example, Vivitrol®) pharmacotherapy services (Q.12)",1,Yes
SRVC88,Facility offers acamprosate (Campral®) pharmacotherapy services (Q.12),0,No
SRVC88,Facility offers acamprosate (Campral®) pharmacotherapy services (Q.12),1,Yes
SRVC94,Facility offers nicotine replacement pharmacotherapy services (Q.12),0,No
SRVC94,Facility offers nicotine replacement pharmacotherapy services (Q.12),1,Yes
SRVC106,"Facility offers non-nicotine smoking/tobacco cessation medications (for example, bupropion, varenicline) (Q.12)",0,No
SRVC106,"Facility offers non-nicotine smoking/tobacco cessation medications (for example, bupropion, varenicline) (Q.12)",1,Yes
SRVC95,Facility offers medications for psychiatric disorders (Q.12),0,No
SRVC95,Facility offers medications for psychiatric disorders (Q.12),1,Yes
SRVC85,Facility offers methadone pharmacotherapy services (Q.12),0,No
SRVC85,Facility offers methadone pharmacotherapy services (Q.12),1,Yes
SRVC87,Facility offers buprenorphine with naloxone pharmacotherapy services (Q.12),0,No
SRVC87,Facility offers buprenorphine with naloxone pharmacotherapy services (Q.12),1,Yes
SRVC86,Facility offers buprenorphine without naloxone pharmacotherapy services (Q.12),0,No
SRVC86,Facility offers buprenorphine without naloxone pharmacotherapy services (Q.12),1,Yes
SRVC129,Facility offers buprenorphine sub-dermal implant (Probuphine®) pharmacotherapy services (Q.12),0,No
SRVC129,Facility offers buprenorphine sub-dermal implant (Probuphine®) pharmacotherapy services (Q.12),1,Yes
SRVC130,"Facility offers buprenorphine (extended-release, injectable, for example, Sublocade®) pharmacotherapy services (Q.12)",0,No
